#  step      rmse_trn   rmse_lc_trn         lr
      0      7.91e-01      7.91e-01    1.0e-02
   1000      4.57e-03      4.57e-03    1.0e-02
   2000      2.36e-03      2.36e-03    1.0e-02
   3000      1.16e-02      1.16e-02    1.0e-02
   4000      2.86e-03      2.86e-03    1.0e-02
   5000      2.71e-03      2.71e-03    9.5e-03
   6000      2.86e-03      2.86e-03    9.5e-03
   7000      2.34e-03      2.34e-03    9.5e-03
   8000      3.38e-03      3.38e-03    9.5e-03
   9000      2.30e-03      2.30e-03    9.5e-03
  10000      2.49e-03      2.49e-03    9.0e-03
  11000      3.75e-03      3.75e-03    9.0e-03
  12000      4.07e-03      4.07e-03    9.0e-03
  13000      1.36e-02      1.36e-02    9.0e-03
  14000      1.52e-02      1.52e-02    9.0e-03
  15000      3.87e-02      3.87e-02    8.6e-03
  16000      7.48e-03      7.48e-03    8.6e-03
  17000      8.03e-03      8.03e-03    8.6e-03
  18000      4.71e-03      4.71e-03    8.6e-03
  19000      5.48e-03      5.48e-03    8.6e-03
  20000      6.04e-03      6.04e-03    8.1e-03
  21000      6.70e-03      6.70e-03    8.1e-03
  22000      3.38e-03      3.38e-03    8.1e-03
  23000      4.66e-03      4.66e-03    8.1e-03
  24000      2.46e-03      2.46e-03    8.1e-03
  25000      3.16e-03      3.16e-03    7.7e-03
  26000      2.54e-03      2.54e-03    7.7e-03
  27000      2.52e-03      2.52e-03    7.7e-03
  28000      2.52e-03      2.52e-03    7.7e-03
  29000      5.52e-03      5.52e-03    7.7e-03
  30000      3.40e-03      3.40e-03    7.4e-03
  31000      4.09e-03      4.09e-03    7.4e-03
  32000      2.29e-03      2.29e-03    7.4e-03
  33000      4.94e-03      4.94e-03    7.4e-03
  34000      2.77e-03      2.77e-03    7.4e-03
  35000      3.87e-03      3.87e-03    7.0e-03
  36000      4.89e-03      4.89e-03    7.0e-03
  37000      3.08e-03      3.08e-03    7.0e-03
  38000      5.98e-03      5.98e-03    7.0e-03
  39000      2.87e-03      2.87e-03    7.0e-03
  40000      6.20e-03      6.20e-03    6.6e-03
  41000      3.65e-03      3.65e-03    6.6e-03
  42000      2.99e-03      2.99e-03    6.6e-03
  43000      1.96e-03      1.96e-03    6.6e-03
  44000      1.89e-03      1.89e-03    6.6e-03
  45000      2.42e-03      2.42e-03    6.3e-03
  46000      3.24e-03      3.24e-03    6.3e-03
  47000      2.37e-03      2.37e-03    6.3e-03
  48000      2.31e-03      2.31e-03    6.3e-03
  49000      3.12e-03      3.12e-03    6.3e-03
  50000      2.65e-03      2.65e-03    6.0e-03
  51000      2.37e-03      2.37e-03    6.0e-03
  52000      2.36e-03      2.36e-03    6.0e-03
  53000      8.50e-03      8.50e-03    6.0e-03
  54000      3.53e-03      3.53e-03    6.0e-03
  55000      2.51e-03      2.51e-03    5.7e-03
  56000      7.98e-03      7.98e-03    5.7e-03
  57000      1.99e-03      1.99e-03    5.7e-03
  58000      3.66e-03      3.66e-03    5.7e-03
  59000      2.46e-03      2.46e-03    5.7e-03
  60000      2.15e-03      2.15e-03    5.4e-03
  61000      7.70e-03      7.70e-03    5.4e-03
  62000      2.76e-03      2.76e-03    5.4e-03
  63000      1.94e-03      1.94e-03    5.4e-03
  64000      3.16e-03      3.16e-03    5.4e-03
  65000      2.66e-03      2.66e-03    5.1e-03
  66000      2.39e-03      2.39e-03    5.1e-03
  67000      2.59e-03      2.59e-03    5.1e-03
  68000      3.18e-03      3.18e-03    5.1e-03
  69000      2.25e-03      2.25e-03    5.1e-03
  70000      2.31e-03      2.31e-03    4.9e-03
  71000      4.08e-03      4.08e-03    4.9e-03
  72000      2.47e-03      2.47e-03    4.9e-03
  73000      4.63e-03      4.63e-03    4.9e-03
  74000      2.34e-03      2.34e-03    4.9e-03
  75000      3.08e-03      3.08e-03    4.6e-03
  76000      1.72e-03      1.72e-03    4.6e-03
  77000      3.02e-03      3.02e-03    4.6e-03
  78000      3.39e-03      3.39e-03    4.6e-03
  79000      2.24e-03      2.24e-03    4.6e-03
  80000      2.26e-03      2.26e-03    4.4e-03
  81000      2.01e-03      2.01e-03    4.4e-03
  82000      2.90e-03      2.90e-03    4.4e-03
  83000      3.27e-03      3.27e-03    4.4e-03
  84000      2.44e-03      2.44e-03    4.4e-03
  85000      2.16e-03      2.16e-03    4.2e-03
  86000      2.72e-03      2.72e-03    4.2e-03
  87000      3.38e-03      3.38e-03    4.2e-03
  88000      1.99e-03      1.99e-03    4.2e-03
  89000      2.67e-03      2.67e-03    4.2e-03
  90000      2.15e-03      2.15e-03    4.0e-03
  91000      2.36e-03      2.36e-03    4.0e-03
  92000      2.23e-03      2.23e-03    4.0e-03
  93000      2.86e-03      2.86e-03    4.0e-03
  94000      2.75e-03      2.75e-03    4.0e-03
  95000      1.94e-03      1.94e-03    3.8e-03
  96000      2.25e-03      2.25e-03    3.8e-03
  97000      2.87e-03      2.87e-03    3.8e-03
  98000      3.15e-03      3.15e-03    3.8e-03
  99000      2.61e-03      2.61e-03    3.8e-03
 100000      2.10e-03      2.10e-03    3.6e-03
 101000      1.76e-03      1.76e-03    3.6e-03
 102000      3.15e-03      3.15e-03    3.6e-03
 103000      2.53e-03      2.53e-03    3.6e-03
 104000      2.25e-03      2.25e-03    3.6e-03
 105000      2.69e-03      2.69e-03    3.4e-03
 106000      2.53e-03      2.53e-03    3.4e-03
 107000      1.66e-03      1.66e-03    3.4e-03
 108000      2.63e-03      2.63e-03    3.4e-03
 109000      1.95e-03      1.95e-03    3.4e-03
 110000      1.95e-03      1.95e-03    3.2e-03
 111000      2.11e-03      2.11e-03    3.2e-03
 112000      2.57e-03      2.57e-03    3.2e-03
 113000      2.37e-03      2.37e-03    3.2e-03
 114000      2.25e-03      2.25e-03    3.2e-03
 115000      2.30e-03      2.30e-03    3.1e-03
 116000      2.13e-03      2.13e-03    3.1e-03
 117000      2.28e-03      2.28e-03    3.1e-03
 118000      2.03e-03      2.03e-03    3.1e-03
 119000      2.06e-03      2.06e-03    3.1e-03
 120000      2.10e-03      2.10e-03    2.9e-03
 121000      2.56e-03      2.56e-03    2.9e-03
 122000      1.56e-03      1.56e-03    2.9e-03
 123000      2.26e-03      2.26e-03    2.9e-03
 124000      2.59e-03      2.59e-03    2.9e-03
 125000      2.30e-03      2.30e-03    2.8e-03
 126000      2.32e-03      2.32e-03    2.8e-03
 127000      2.61e-03      2.61e-03    2.8e-03
 128000      2.44e-03      2.44e-03    2.8e-03
 129000      3.18e-03      3.18e-03    2.8e-03
 130000      8.43e-03      8.43e-03    2.6e-03
 131000      2.26e-03      2.26e-03    2.6e-03
 132000      2.42e-03      2.42e-03    2.6e-03
 133000      2.13e-03      2.13e-03    2.6e-03
 134000      1.75e-03      1.75e-03    2.6e-03
 135000      2.27e-03      2.27e-03    2.5e-03
 136000      1.95e-03      1.95e-03    2.5e-03
 137000      2.28e-03      2.28e-03    2.5e-03
 138000      1.51e-03      1.51e-03    2.5e-03
 139000      1.98e-03      1.98e-03    2.5e-03
 140000      1.82e-03      1.82e-03    2.4e-03
 141000      2.22e-03      2.22e-03    2.4e-03
 142000      1.96e-03      1.96e-03    2.4e-03
 143000      2.10e-03      2.10e-03    2.4e-03
 144000      1.95e-03      1.95e-03    2.4e-03
 145000      2.25e-03      2.25e-03    2.3e-03
 146000      2.07e-03      2.07e-03    2.3e-03
 147000      1.79e-03      1.79e-03    2.3e-03
 148000      1.97e-03      1.97e-03    2.3e-03
 149000      2.17e-03      2.17e-03    2.3e-03
 150000      2.12e-03      2.12e-03    2.1e-03
 151000      2.08e-03      2.08e-03    2.1e-03
 152000      2.18e-03      2.18e-03    2.1e-03
 153000      2.15e-03      2.15e-03    2.1e-03
 154000      2.27e-03      2.27e-03    2.1e-03
 155000      2.08e-03      2.08e-03    2.0e-03
 156000      2.18e-03      2.18e-03    2.0e-03
 157000      3.08e-03      3.08e-03    2.0e-03
 158000      2.84e-03      2.84e-03    2.0e-03
 159000      1.79e-03      1.79e-03    2.0e-03
 160000      1.98e-03      1.98e-03    1.9e-03
 161000      2.13e-03      2.13e-03    1.9e-03
 162000      1.90e-03      1.90e-03    1.9e-03
 163000      2.81e-03      2.81e-03    1.9e-03
 164000      1.98e-03      1.98e-03    1.9e-03
 165000      1.99e-03      1.99e-03    1.8e-03
 166000      1.86e-03      1.86e-03    1.8e-03
 167000      2.01e-03      2.01e-03    1.8e-03
 168000      2.10e-03      2.10e-03    1.8e-03
 169000      2.88e-03      2.88e-03    1.8e-03
 170000      1.75e-03      1.75e-03    1.7e-03
 171000      2.16e-03      2.16e-03    1.7e-03
 172000      1.90e-03      1.90e-03    1.7e-03
 173000      1.80e-03      1.80e-03    1.7e-03
 174000      1.81e-03      1.81e-03    1.7e-03
 175000      2.10e-03      2.10e-03    1.7e-03
 176000      1.82e-03      1.82e-03    1.7e-03
 177000      1.69e-03      1.69e-03    1.7e-03
 178000      2.01e-03      2.01e-03    1.7e-03
 179000      1.93e-03      1.93e-03    1.7e-03
 180000      1.82e-03      1.82e-03    1.6e-03
 181000      1.74e-03      1.74e-03    1.6e-03
 182000      2.46e-03      2.46e-03    1.6e-03
 183000      2.78e-03      2.78e-03    1.6e-03
 184000      1.99e-03      1.99e-03    1.6e-03
 185000      1.82e-03      1.82e-03    1.5e-03
 186000      1.68e-03      1.68e-03    1.5e-03
 187000      2.33e-03      2.33e-03    1.5e-03
 188000      1.91e-03      1.91e-03    1.5e-03
 189000      1.79e-03      1.79e-03    1.5e-03
 190000      2.79e-03      2.79e-03    1.4e-03
 191000      2.05e-03      2.05e-03    1.4e-03
