#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      9.00e+00      4.57e-01      8.96e-01    2.0e-03
   1000      1.95e+00      2.78e-02      1.95e-01    2.0e-03
   2000      1.69e+00      7.75e-02      1.69e-01    1.9e-03
   3000      1.08e+00      3.45e-02      1.09e-01    1.9e-03
   4000      9.96e-01      1.00e-02      1.02e-01    1.9e-03
   5000      8.10e-01      1.14e-02      8.32e-02    1.9e-03
   6000      1.13e+00      1.04e-02      1.18e-01    1.8e-03
   7000      1.10e+00      8.75e-04      1.15e-01    1.8e-03
   8000      7.90e-01      1.26e-03      8.37e-02    1.8e-03
   9000      1.22e+00      2.00e-02      1.28e-01    1.8e-03
  10000      1.11e+00      2.19e-02      1.18e-01    1.7e-03
  11000      8.40e-01      1.54e-02      8.95e-02    1.7e-03
  12000      8.27e-01      1.28e-02      8.95e-02    1.7e-03
  13000      7.91e-01      1.15e-02      8.57e-02    1.7e-03
  14000      7.68e-01      7.85e-03      8.47e-02    1.6e-03
  15000      6.68e-01      9.19e-03      7.34e-02    1.6e-03
  16000      6.20e-01      3.69e-03      6.95e-02    1.6e-03
  17000      8.35e-01      3.23e-02      8.77e-02    1.6e-03
  18000      1.43e+00      9.55e-02      1.26e-01    1.5e-03
  19000      6.09e-01      2.04e-02      6.57e-02    1.5e-03
  20000      7.72e-01      3.35e-02      8.04e-02    1.5e-03
  21000      8.12e-01      1.30e-02      9.27e-02    1.5e-03
  22000      6.66e-01      7.94e-03      7.75e-02    1.4e-03
  23000      7.28e-01      9.15e-03      8.47e-02    1.4e-03
  24000      4.85e-01      5.01e-03      5.73e-02    1.4e-03
  25000      8.05e-01      4.56e-02      7.57e-02    1.4e-03
  26000      5.00e-01      8.29e-03      5.93e-02    1.4e-03
  27000      6.26e-01      7.33e-03      7.50e-02    1.4e-03
  28000      5.03e-01      1.25e-02      5.91e-02    1.3e-03
  29000      7.85e-01      3.83e-02      7.95e-02    1.3e-03
  30000      5.37e-01      4.22e-03      6.65e-02    1.3e-03
  31000      5.61e-01      1.41e-02      6.66e-02    1.3e-03
  32000      4.88e-01      1.93e-03      6.15e-02    1.3e-03
  33000      4.84e-01      6.87e-03      6.01e-02    1.3e-03
  34000      4.27e-01      3.76e-04      5.46e-02    1.2e-03
  35000      4.75e-01      7.89e-03      5.95e-02    1.2e-03
  36000      5.69e-01      6.55e-03      7.31e-02    1.2e-03
  37000      5.16e-01      5.46e-03      6.63e-02    1.2e-03
  38000      6.79e-01      1.62e-02      8.51e-02    1.1e-03
  39000      4.43e-01      1.23e-03      5.82e-02    1.1e-03
  40000      8.04e-01      1.94e-02      1.02e-01    1.1e-03
  41000      5.79e-01      3.03e-02      5.62e-02    1.1e-03
  42000      4.65e-01      1.10e-03      6.31e-02    1.1e-03
  43000      5.15e-01      3.68e-03      6.95e-02    1.1e-03
  44000      4.50e-01      1.39e-03      6.19e-02    1.0e-03
  45000      7.96e-01      3.88e-02      8.21e-02    1.0e-03
  46000      4.93e-01      1.76e-02      5.97e-02    1.0e-03
  47000      4.48e-01      7.50e-03      6.09e-02    1.0e-03
  48000      4.34e-01      6.15e-03      6.01e-02    9.9e-04
  49000      3.80e-01      4.91e-03      5.29e-02    9.9e-04
  50000      4.30e-01      2.79e-03      6.15e-02    9.6e-04
