#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      2.26e+01      1.58e+00      7.14e-01    1.0e-03
   1000      8.02e-01      7.26e-03      2.93e-02    7.5e-04
   2000      4.91e-01      4.80e-04      2.07e-02    5.6e-04
   3000      3.11e-01      3.23e-03      1.51e-02    4.2e-04
   4000      2.56e-01      5.82e-03      1.44e-02    3.2e-04
   5000      2.07e-01      4.58e-03      1.34e-02    2.4e-04
   6000      1.23e-01      3.51e-03      9.20e-03    1.8e-04
   7000      1.59e-01      5.59e-03      1.37e-02    1.3e-04
   8000      7.99e-02      1.42e-03      7.95e-03    1.0e-04
   9000      8.49e-02      6.33e-04      9.74e-03    7.5e-05
  10000      7.08e-02      9.89e-04      9.35e-03    5.6e-05
  11000      6.06e-02      4.18e-04      9.23e-03    4.2e-05
  12000      5.13e-02      2.27e-03      8.90e-03    3.2e-05
  13000      3.24e-02      7.88e-05      6.52e-03    2.4e-05
  14000      2.72e-02      5.91e-04      6.26e-03    1.8e-05
  15000      2.86e-02      1.94e-03      7.37e-03    1.3e-05
  16000      2.71e-02      1.29e-04      8.17e-03    1.0e-05
  17000      2.55e-02      6.40e-05      8.74e-03    7.5e-06
  18000      1.88e-02      7.77e-04      7.26e-03    5.6e-06
  19000      1.75e-02      8.20e-05      7.66e-03    4.2e-06
  20000      1.69e-02      1.05e-04      8.26e-03    3.2e-06
  21000      1.45e-02      1.55e-04      7.90e-03    2.4e-06
  22000      1.59e-02      3.43e-04      9.51e-03    1.8e-06
  23000      1.26e-02      1.80e-04      8.26e-03    1.3e-06
  24000      9.43e-03      1.54e-04      6.66e-03    1.0e-06
  25000      6.93e-03      8.52e-05      5.23e-03    7.5e-07
  26000      1.16e-02      8.93e-05      9.28e-03    5.6e-07
  27000      9.64e-03      6.47e-05      8.09e-03    4.2e-07
  28000      8.93e-03      6.30e-05      7.78e-03    3.2e-07
  29000      7.46e-03      1.04e-04      6.70e-03    2.4e-07
  30000      7.90e-03      7.28e-05      7.27e-03    1.8e-07
  31000      6.87e-03      3.31e-05      6.45e-03    1.3e-07
  32000      6.74e-03      4.32e-05      6.43e-03    1.0e-07
  33000      6.98e-03      8.06e-05      6.73e-03    7.5e-08
  34000      9.00e-03      8.20e-05      8.75e-03    5.6e-08
  35000      7.88e-03      8.81e-05      7.71e-03    4.2e-08
  36000      8.02e-03      5.90e-05      7.89e-03    3.2e-08
  37000      9.08e-03      9.21e-05      8.97e-03    2.4e-08
  38000      5.87e-03      6.58e-05      5.81e-03    1.8e-08
  39000      7.40e-03      7.35e-05      7.34e-03    1.3e-08
  40000      5.27e-03      3.24e-05      5.25e-03    1.0e-08
